,Title,Type,Director,Actors,Release,Genre,Runtime,Language,Country,Rating,IMDb,RottenTomatoes,Metacritic,Platform
17123,Muppets Now,TV Show,,"['Bill Barretta', 'Dave Goelz', 'Eric Jacobson']",31 Jul 2020,"['Comedy', 'Family', 'Reality TV']",1,English,United States,TV-PG,6.0,,,Disney
17124,Surviving the Mount St. Helens Disaster,Movie,Sophie Elwin-Harris,,09 May 2020,"['Documentary', 'History']",44,English,UK,,7.7,,,Disney
17125,Pirates of the Caribbean: Dead Men Tell No Tales,Movie,"Joachim Rønning, Espen Sandberg","['Johnny Depp', 'Geoffrey Rush', 'Javier Bardem']",26 May 2017,"['Action', 'Adventure', 'Fantasy']",129,"['English', 'Spanish']","['United States', 'Australia', 'United Kingdom', 'Canada']",PG-13,6.5,30.0,39.0,Disney
17126,Rogue Trip,TV Show,,"['Bob Woodruff', 'Mack Woodruff', 'Neha Shastry']",24 Jul 2020,"['Documentary', 'Adventure']",1,English,United States,TV-14,7.2,,,Disney
17127,Wild Sri Lanka,TV Show,,Paul McGann,08 Mar 2015,Documentary,1,English,United Kingdom,,8.4,,,Disney
17128,A Pre-Opening Report from Disneyland,Movie,Wilfred Jackson,"['Walt Disney', 'Winston Hibler']",1955,"['Documentary', 'Family', 'Historical']",55,,United States,TV-PG,,,,Disney
17129,Diary of a Wimpy Kid: The Long Haul,Movie,David Bowers,"['Jason Drucker', 'Alicia Silverstone', 'Tom Everett Scott']",19 May 2017,"['Adventure', 'Comedy', 'Family']",91,"['English', 'Spanish']",United States,PG,4.2,18.0,39.0,Disney
17130,The Lost City of Machu Picchu,Movie,,"['Valerie Andrushko', 'Fernando Astete', 'Stella Nair', 'Johan Reinhard']",,"['Documentary', 'History']",44,"['English', 'Spanish']",USA,TV-14,7.0,,,Disney
17131,Super Robot Monkey Team Hyperforce Go!,TV Show,,"['Greg Cipes', 'Kevin Michael Richardson', 'Tom Kenny']",18 Sep 2004,"['Animation', 'Action', 'Adventure']",4,English,"['United States', 'Japan']",TV-Y7-FV,6.2,,,Disney
17132,The Mouseketeers at Walt Disney World,Movie,John Tracy,"[""Billy 'Pop' Atmore"", 'Scott Craig', 'Nita DiGiampaolo', 'Mindy Feldman']",20 Nov 1977,Family,,English,USA,,8.4,,,Disney
17133,Wild Chile,TV Show,,,18 Feb 2018,Documentary,1,English,United Kingdom,,7.6,,,Disney
17134,X-Men: Apocalypse,Movie,Bryan Singer,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",27 May 2016,"['Action', 'Adventure', 'Sci-Fi']",144,"['English', 'Polish', 'German', 'Arabic', 'Egyptian (Ancient)']",United States,PG-13,6.9,47.0,52.0,Disney
17135,Cosmos: A Spacetime Odyssey,TV Show,,"['Neil deGrasse Tyson', 'Christopher Emerson', 'Keythe Farley']",09 Mar 2014,Documentary,1,English,United States,TV-PG,9.3,,,Disney
17136,Hamilton: History Has Its Eyes on You,Movie,,,03 Jul 2020,"['Documentary', 'Talk-Show']",46,English,United States,,6.4,,,Disney
17137,Solo: A Star Wars Story,Movie,Ron Howard,"['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke']",25 May 2018,"['Action', 'Adventure', 'Sci-Fi']",135,English,United States,PG-13,6.9,70.0,62.0,Disney
17138,X-Men: Days of Future Past,Movie,Bryan Singer,"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman']",23 May 2014,"['Action', 'Adventure', 'Sci-Fi']",132,"['English', 'Vietnamese', 'French']","['United States', 'United Kingdom']",PG-13,7.9,90.0,75.0,Disney
17139,The Undefeated Presents Hamilton In-Depth,Movie,,,03 Jul 2020,"['Documentary', 'Short']",33,English,United States,,6.5,,,Disney
17140,Animal ER,TV Show,,Brian Beale,10 Sep 2016,Reality TV,2,English,United States,,7.9,,,Disney
17141,Diary of a Wimpy Kid: Rodrick Rules,Movie,David Bowers,"['Zachary Gordon', 'Devon Bostick', 'Robert Capron']",25 Mar 2011,"['Comedy', 'Family']",99,English,United States,PG,6.6,47.0,51.0,Disney
17142,Hamilton,Movie,Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']",03 Jul 2020,"['Biography', 'Drama', 'History']",160,English,United States,PG-13,8.4,97.0,90.0,Disney
17143,Ice Age: Collision Course,Movie,"Michael Thurmeier, Galen T. Chu","['Ray Romano', 'Denis Leary', 'John Leguizamo']",22 Jul 2016,"['Animation', 'Adventure', 'Comedy']",94,English,United States,PG,5.7,18.0,34.0,Disney
17144,Race to Witch Mountain,Movie,Andy Fickman,"['Dwayne Johnson', 'Carla Gugino', 'AnnaSophia Robb']",13 Mar 2009,"['Action', 'Adventure', 'Family']",98,English,United States,PG,5.7,42.0,52.0,Disney
17145,The Big Green,Movie,Holly Goldberg Sloan,"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']",29 Sep 1995,"['Comedy', 'Family', 'Sport']",100,English,United States,PG,5.6,0.0,,Disney
17146,The Mighty Ducks,Movie,Stephen Herek,"['Emilio Estevez', 'Joss Ackland', 'Lane Smith']",02 Oct 1992,"['Comedy', 'Drama', 'Family']",104,English,United States,PG,6.6,21.0,46.0,Disney
17147,While You Were Sleeping,Movie,Jon Turteltaub,"['Sandra Bullock', 'Bill Pullman', 'Peter Gallagher']",21 Apr 1995,"['Comedy', 'Drama', 'Romance']",103,English,United States,PG,6.7,81.0,67.0,Disney
17148,Disney A.N.T. Farm,TV Show,,"['China McClain', 'Sierra McCormick', 'Jake Short', 'Stefanie Scott', 'Carlon Jeffery']",2011,"['Comedy', 'Coming of Age', 'Music']",3,,United States,TV-G,,,,Disney
17149,Into the Unknown: Making Frozen 2,TV Show,,"['Jennifer Lee', 'Kristen Anderson-Lopez', 'Robert Lopez']",26 Jun 2020,"['Documentary', 'Family']",1,English,United States,TV-G,8.5,,,Disney
17150,A History of Project Mercury: Preparing for Man in Space,Movie,Daniel Raim,Marvin Grunzke,01 Nov 2011,"['Documentary', 'Short']",,English,United States,,,,,Disney
17151,Mars and Beyond,Movie,Herbert Wright,"['Ed Asner', 'Sharisse Baker-Bernard', 'Majel Barrett']",,"['Short', 'Sci-Fi']",,English,United States,,3.0,,,Disney
17152,Marvel Studios' Avengers: Infinity War,Movie,"Anthony Russo, Joe Russo","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Don Cheadle']",2018,"['Action-Adventure', 'Fantasy', 'Science Fiction']",152,,United States,PG-13,,,,Disney
17153,Tarzan,Movie,"Chris Buck, Kevin Lima","['Tony Goldwyn', 'Minnie Driver', 'Brian Blessed']",18 Jun 1999,"['Animation', 'Adventure', 'Comedy']",88,English,United States,G,7.3,89.0,79.0,Disney
17154,Tarzan II,Movie,Brian Smith,"['Harrison Chad', 'George Carlin', 'Brad Garrett', 'Ron Perlman', 'Estelle Harris', 'Glenn Close']",2005,"['Action-Adventure', 'Animation', 'Coming of Age']",75,,United States,G,,,,Disney
17155,Big Sur: Wild California,Movie,,Hector Elizondo,2010,"['Animals & Nature', 'Documentary', 'Family']",47,,United States,TV-PG,,,,Disney
17156,Egypt's Treasure Guardians,Movie,"Ben Allen, Tom Jenner","['Dominic Frisby', 'Medhat Abdallah', 'Eddy Cannaerts', 'Howard Carter']",28 Dec 2016,History,,English,UK,,6.2,,,Disney
17157,The Jungle Book,Movie,Jon Favreau,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley']",15 Apr 2016,"['Adventure', 'Drama', 'Family']",106,"['English', 'Hindi', 'Bengali', 'Kannada', 'Telugu', 'Tamil', 'Assamese', 'Gujarati', 'Urdu', 'Oriya', 'Punjabi', 'Malayalam', 'Marathi', 'Rajasthani', 'Haryanvi', 'Nepali']","['United Kingdom', 'United States']",PG,7.4,94.0,77.0,Disney
17158,The Pirate Fairy,Movie,Peggy Holmes,"['Mae Whitman', 'Christina Hendricks', 'Tom Hiddleston', 'Lucy Liu']",13 Feb 2014,"['Animation', 'Adventure', 'Family', 'Fantasy']",78,English,USA,G,6.6,81.0,51.0,Disney
17159,Trail Mix-Up,Movie,Barry Cook,"['Charles Fleischer', 'Kathleen Turner', 'April Winchell']",12 Mar 1993,"['Animation', 'Short', 'Comedy']",8,English,United States,G,7.3,,,Disney
17160,Tummy Trouble,Movie,"Frank Marshall, Rob Minkoff","['Charles Fleischer', 'April Winchell', 'Lou Hirsch']",23 Jun 1989,"['Animation', 'Short', 'Adventure']",8,English,United States,G,7.3,,,Disney
17161,Artemis Fowl,Movie,Kenneth Branagh,"['Ferdia Shaw', 'Lara McDonnell', 'Josh Gad']",12 Jun 2020,"['Adventure', 'Family', 'Fantasy']",95,"['English', 'Italian']",United States,PG,4.2,8.0,31.0,Disney
17162,Mighty Med,TV Show,,"['Bradley Steven Perry', 'Jake Short', 'Paris Berelc']",07 Oct 2013,"['Comedy', 'Family', 'Sci-Fi']",2,English,United States,TV-Y7,6.6,,,Disney
17163,The Liberty Story,Movie,"Hamilton Luske, Robert Stevenson",Walt Disney,1957,"['Drama', 'Family', 'Historical']",48,,United States,TV-PG,,,,Disney
17164,Walt & El Grupo,Movie,Theodore Thomas,"['Flávio Barroso', 'Lee Blair', 'Mary Blair']",26 Apr 2008,Documentary,106,English,United States,PG,6.5,59.0,55.0,Disney
17165,Alaska's Grizzly Gauntlet,TV Show,,,08 Mar 2018,Documentary,1,English,United States,,6.3,,,Disney
17166,America's Greatest Animals,Movie,,"['Casey Anderson', 'Brady Barr', 'Andy Brandy Casagrande', 'Mireya Mayor']",27 May 2012,Documentary,96,English,USA,,5.9,,,Disney
17167,Chasing the Equinox,Movie,"Carla Grande, Su-Mae Khoo, Chris Roberts, Kenny Scott","['Efrosyni Boutsikas', 'Stefan Ashton Frank', 'Sarah Klassen', 'Tore Lomsdalen']",05 Jun 2020,Documentary,45,,,,6.3,,,Disney
17168,Howie Mandel's Animals Doing Things,TV Show,,"['Howie Mandel', 'Apryl Boyle', 'Mason Brown']",16 Jun 2018,Comedy,1,English,United States,,3.4,,,Disney
17169,Japan: Between Earth and Sky,TV Show,,Bray Poor,20 Jan 2020,Documentary,1,English,"['France', 'Japan']",,7.6,,,Disney
17170,Percy Jackson & the Olympians: The Lightning Thief,Movie,Chris Columbus,"['Logan Lerman', 'Kevin McKidd', 'Steve Coogan']",12 Feb 2010,"['Adventure', 'Family', 'Fantasy']",118,"['English', 'Greek', 'Ancient (to 1453)']","['United Kingdom', 'Canada', 'United States']",PG,5.9,49.0,47.0,Disney
17171,Secrets of Wild India,TV Show,,David Attenborough,01 Apr 2012,Documentary,,English,United Kingdom,,8.1,,,Disney
17172,The Greeks,TV Show,,"['Michael Cosmopoulos', 'Edith Hall', 'Bettany Hughes']",21 Jun 2016,"['Documentary', 'History']",1,English,United States,,7.8,,,Disney
17173,Wild Hawaii,Movie,Kevin Bachar,J.K. Simmons,20 Apr 2014,Documentary,45,English,United States,,7.3,,,Disney
17174,Women Of Impact: Changing The World,Movie,,Julianna Margulies,2019,"['Documentary', 'Historical']",44,,United States,TV-PG,,,,Disney
17175,Mickey and the Seal,Movie,Charles A. Nichols,"['Mel Blanc', 'Pinto Colvig', 'James MacDonald']",03 Dec 1948,"['Animation', 'Short', 'Comedy']",7,English,United States,Approved,7.0,,,Disney
17176,The Evermoor Chronicles,TV Show,,"['Naomi Sequeira', 'Finney Cassidy', 'Georgia Lock', 'Jordan Loughran', 'George Sear', 'Georgie Farmer']",2015,"['Coming of Age', 'Fantasy', 'Mystery']",2,,"['United Kingdom', 'United States']",TV-PG,,,,Disney
17177,The Moon-Spinners,Movie,James Neilson,"['Hayley Mills', 'Eli Wallach', 'Pola Negri']",08 Jul 1964,"['Adventure', 'Family', 'Mystery']",118,"['English', 'Greek', 'Spanish']",United States,G,6.7,,,Disney
17178,Doc McStuffins,TV Show,,"['Lara Jill Miller', 'Loretta Devine', 'Robbie Rist']",23 Mar 2012,"['Animation', 'Family', 'Fantasy']",5,English,"['United States', 'Ireland']",G,6.6,,,Disney
17179,Fantastic Mr. Fox,Movie,Wes Anderson,"['George Clooney', 'Meryl Streep', 'Bill Murray']",25 Nov 2009,"['Animation', 'Adventure', 'Comedy']",87,"['English', 'French']","['United States', 'United Kingdom']",PG,7.9,93.0,83.0,Disney
17180,"Hello, Dolly!",Movie,Gene Kelly,"['Barbra Streisand', 'Walter Matthau', 'Michael Crawford']",16 Dec 1969,"['Adventure', 'Comedy', 'Musical']",146,English,United States,G,7.1,43.0,51.0,Disney
17181,Inside Out,Movie,"Pete Docter, Ronnie Del Carmen","['Amy Poehler', 'Bill Hader', 'Lewis Black']",19 Jun 2015,"['Animation', 'Adventure', 'Comedy']",95,"['English', 'Portuguese']",United States,PG,8.1,98.0,94.0,Disney
17182,The Big Fib,TV Show,,"['Yvette Nicole Brown', 'Rhys Darby', 'David Carl']",22 May 2020,Game-Show,1,English,United States,,5.3,,,Disney
17183,The Boys: The Sherman Brothers' Story,Movie,"Jeffrey Sherman, Gregory Sherman",,2009,"['Biographical', 'Documentary', 'Music']",102,,United States,PG,,,,Disney
17184,It's a Dog's Life with Bill Farmer,TV Show,,Bill Farmer,2020,"['Animals & Nature', 'Docuseries', 'Family']",1 Season,,United States,TV-PG,,,,Disney
17185,Maleficent: Mistress of Evil,Movie,Joachim Rønning,"['Angelina Jolie', 'Elle Fanning', 'Harris Dickinson']",18 Oct 2019,"['Adventure', 'Family', 'Fantasy']",119,English,"['United States', 'United Kingdom', 'Canada']",PG,6.6,39.0,43.0,Disney
17186,Star Wars: The Rise of Skywalker (Episode IX),Movie,J.J. Abrams,"['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac']",2019,"['Action-Adventure', 'Family', 'Science Fiction']",142,,United States,PG-13,,,,Disney
17187,John Carter,Movie,Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Willem Dafoe']",09 Mar 2012,"['Action', 'Adventure', 'Sci-Fi']",132,English,United States,PG-13,6.6,52.0,51.0,Disney
17188,Birth of Europe,TV Show,,Mark Halliley,10 Feb 2012,Documentary,1,English,United Kingdom,,7.1,,,Disney
17189,Bride of Boogedy,Movie,Oz Scott,"['Richard Masur', 'Mimi Kennedy', 'Tammy Lauren', 'David Faustino', 'Joshua Rudoy', 'Leonard Frey']",1987,"['Action-Adventure', 'Family', 'Fantasy']",93,,United States,TV-PG,,,,Disney
17190,Disney Prop Culture,TV Show,,Daniel Lanigan,2020,Docuseries,1 Season,,United States,TV-PG,,,,Disney
17191,George of the Jungle,Movie,Sam Weisman,"['Brendan Fraser', 'Leslie Mann', 'Thomas Haden Church']",16 Jul 1997,"['Action', 'Adventure', 'Comedy']",92,"['English', 'Spanish']",United States,PG,5.5,56.0,53.0,Disney
17192,Homeward Bound II: Lost in San Francisco,Movie,David R. Ellis,"['Michael J. Fox', 'Sally Field', 'Ralph Waite']",08 Mar 1996,"['Adventure', 'Comedy', 'Family']",88,English,United States,G,6.0,53.0,,Disney
17193,Homeward Bound: The Incredible Journey,Movie,Duwayne Dunham,"['Michael J. Fox', 'Sally Field', 'Don Alder']",12 Feb 1993,"['Adventure', 'Comedy', 'Drama']",84,English,United States,G,7.0,87.0,,Disney
17194,How to Play Baseball,Movie,Jack Kinney,Fred Shields,04 Sep 1942,"['Animation', 'Short', 'Comedy']",8,English,United States,Approved,7.3,,,Disney
17195,In Beaver Valley,Movie,James Algar,Winston Hibler,1950,"['Animals & Nature', 'Documentary', 'Family']",32,,United States,TV-PG,,,,Disney
17196,&quot;Lost Treasures of Egypt&quot;,TV Show,,"['Rick Robles', 'John Ward', 'Julian Barratt']",05 Mar 2019,"['Documentary', 'History']",3,English,United Kingdom,,8.1,,,Disney
17197,Love & Vets,TV Show,,Mallory Kasdan,2017,"['Animals & Nature', 'Docuseries', 'Family']",1 Season,,United States,TV-PG,,,,Disney
17198,Nature's Half Acre,Movie,James Algar,"['Winston Hibler', 'Mogens Lind']",28 Jul 1951,"['Documentary', 'Short', 'Family']",33,English,United States,Passed,7.1,,,Disney
17199,Prairie Dog Manor,TV Show,,"['Kevin Conway', 'Kai', 'Gnash the Prairie Dog']",18 Oct 2019,Reality TV,1,English,United States,,8.0,,,Disney
17200,Prowlers of the Everglades,Movie,James Algar,Winston Hibler,23 Jul 1953,"['Documentary', 'Short', 'Family']",32,English,United States,Approved,7.6,,,Disney
17201,The Princess Bride,Movie,Rob Reiner,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright']",09 Oct 1987,"['Adventure', 'Family', 'Fantasy']",98,English,United States,PG,8.1,98.0,77.0,Disney
17202,United States of Animals,TV Show,,"['Quincy Dunn-Baker', 'Jo Mendenhall', 'Rob Bierregaard']",29 Apr 2016,Documentary,1,English,United States,TV-PG,6.5,,,Disney
17203,Unlikely Animal Friends,TV Show,,Mark Keller,13 Jan 2012,Documentary,5,English,United States,,7.6,,,Disney
17204,Water Birds,Movie,Ben Sharpsteen,Winston Hibler,26 Jun 1952,"['Documentary', 'Short', 'Family']",30,English,United States,Approved,6.7,,,Disney
17205,National Treasure,Movie,Jon Turteltaub,"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha']",19 Nov 2004,"['Action', 'Adventure', 'Mystery']",131,"['English', 'Spanish']",United States,PG,6.9,46.0,39.0,Disney
17206,Born Wild: The Next Generation,Movie,,Robin Roberts,23 Apr 2020,Documentary,,English,USA,,7.8,,,Disney
17207,America's Funniest Home Videos,TV Show,,"['Jess Harnell', 'Tom Bergeron', 'Bob Saget']",26 Nov 1989,"['Comedy', 'Family', 'Reality TV']",32,English,United States,TV-PG,6.2,,,Disney
17208,The Olympic Elk,Movie,James Algar,Winston Hibler,13 Feb 1952,"['Documentary', 'Short']",27,English,United States,Approved,7.1,,,Disney
17209,Tangled: The Series,TV Show,,"['Mandy Moore', 'Zachary Levi', 'Eden Espinosa']",24 Mar 2017,"['Animation', 'Action', 'Adventure']",3,"['English', 'Czech', 'German']",United States,TV-Y7,7.7,,,Disney
17210,Jane Goodall: The Hope,Movie,"Elizabeth Leiter, Kim Woodard",Jane Goodall,22 Apr 2020,Documentary,88,English,United States,,8.0,,,Disney
17211,Brain Games,TV Show,,"['Jason Silva', 'Bert Thomas Morris', 'Apollo Robbins']",09 Oct 2011,"['Documentary', 'Comedy', 'Drama']",8,English,United States,TV-G,8.2,,,Disney
17212,Let's Stick Together,Movie,Jack Hannah,"['June Foray', 'Clarence Nash', 'Bill Thompson']",25 Apr 1952,"['Family', 'Animation', 'Comedy']",7,English,United States,Approved,6.8,,,Disney
17213,Pluto's Purchase,Movie,"Charles A. Nichols, Jack Kinney","['James MacDonald', 'Pinto Colvig', 'Clarence Nash']",09 Jul 1948,"['Animation', 'Comedy', 'Family']",7,English,United States,Approved,6.5,,,Disney
17214,TRON: Uprising,TV Show,,"['Elijah Wood', 'Tricia Helfer', 'Charlie Bean']",20 May 2012,"['Animation', 'Action', 'Adventure']",1,English,United States,TV-Y7,8.2,,,Disney
17215,A Celebration of the Music from Coco,Movie,Ron de Moraes,"['Benjamin Bratt', 'Jaime Camil', 'Aran de la Peña']",10 Apr 2020,"['Music', 'Musical']",47,English,United States,,7.1,,,Disney
17216,"Maggie Simpson in ""Playdate with Destiny""",Movie,David Silverman,,2020,"['Animation', 'Comedy']",5,,United States,G,,,,Disney
17217,Tut's Treasures: Hidden Secrets,TV Show,,"['Salima Ikram', 'Chris Naunton', 'Aidan Dodson']",24 Mar 2018,"['Documentary', 'History']",1,English,United Kingdom,,7.4,,,Disney
17218,A Tale of Two Critters,Movie,Jack Speirs,Mayf Nutter,22 Jun 1977,"['Adventure', 'Family']",48,English,United States,G,6.1,,,Disney
17219,All in a Nutshell,Movie,Jack Hannah,"['Dessie Flynn', 'James MacDonald', 'Clarence Nash']",02 Sep 1949,"['Animation', 'Short', 'Comedy']",7,English,United States,Approved,7.4,,,Disney
17220,Disneynature Penguins,Movie,"Alastair Fothergill, Jeff Wilson",Ed Helms,2019,"['Animals & Nature', 'Documentary', 'Family']",77,,United States,G,,,,Disney
17221,Diving with Dolphins,Movie,Keith Scholey,"['Celine Cousteau', 'Doug Anderson', 'Paul Atkins']",03 Apr 2020,Documentary,79,"['English', 'French']",United States,G,7.2,,,Disney
17222,Dolphin Reef,Movie,"Keith Scholey, Alastair Fothergill",Natalie Portman,03 Apr 2020,"['Documentary', 'Family']",77,English,United States,G,7.5,,79.0,Disney
17223,Don's Fountain of Youth,Movie,"Jack Hannah, Norman Ferguson, Clyde Geronimi","['James MacDonald', 'Clarence Nash']",30 May 1953,"['Animation', 'Short', 'Comedy']",6,English,United States,Approved,7.2,,,Disney
17224,Donald's Dog Laundry,Movie,Jack King,"['Lee Millar', 'Clarence Nash']",05 Apr 1940,"['Animation', 'Short', 'Comedy']",8,English,United States,Approved,6.8,,,Disney
17225,Double Dribble,Movie,"Jack Hannah, Jack Kinney","['Pinto Colvig', 'Fred Shields']",20 Dec 1946,"['Animation', 'Short', 'Comedy']",7,English,United States,Approved,6.8,,,Disney
17226,Dragon Around,Movie,Jack Hannah,"['Dessie Flynn', 'James MacDonald', 'Clarence Nash']",16 Jul 1954,"['Family', 'Comedy', 'Animation']",7,English,United States,Approved,7.1,,,Disney
17227,Elephant,Movie,Gus Van Sant,"['Elias McConnell', 'Alex Frost', 'Eric Deulen']",14 Nov 2003,"['Crime', 'Drama', 'Thriller']",81,"['English', 'German']",United States,R,7.2,73.0,70.0,Disney
17228,Elmer Elephant,Movie,Wilfred Jackson,"['Pinto Colvig', 'Bernice Hansen', 'Clarence Nash']",28 Mar 1936,"['Animation', 'Short', 'Comedy']",9,English,United States,Approved,6.9,,,Disney
17229,Fish Hooks,TV Show,,"['Chelsea Kane', 'Justin Roiland', 'Kyle Massey']",28 Aug 2010,"['Animation', 'Adventure', 'Comedy']",3,English,United States,TV-G,4.9,,,Disney
17230,How to Play Football,Movie,Jack Kinney,"['Billy Bletcher', 'Pinto Colvig']",15 Sep 1944,"['Animation', 'Short', 'Comedy']",7,English,United States,Approved,7.2,,,Disney
17231,In the Footsteps of Elephant,Movie,"Vanessa Berlowitz, Tom Stephens","['Jeremy Sisto', 'Mike Chase', 'Martyn Colbeck']",03 Apr 2020,"['Documentary', 'Adventure', 'Family']",85,English,United States,G,7.3,,,Disney
17232,Lambert the Sheepish Lion,Movie,"Jack Hannah, Clyde Geronimi","['Sterling Holloway', 'Mel Blanc', 'June Foray']",08 Feb 1952,"['Animation', 'Short', 'Comedy']",8,English,United States,Approved,7.6,,,Disney
17233,On Ice,Movie,Ben Sharpsteen,"['Pinto Colvig', 'Walt Disney', 'Marcellite Garner']",28 Sep 1935,"['Animation', 'Short', 'Adventure']",8,English,United States,Approved,7.4,,,Disney
17234,Onward,Movie,Dan Scanlon,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus']",06 Mar 2020,"['Animation', 'Adventure', 'Comedy']",102,English,United States,PG,7.4,88.0,61.0,Disney
17235,Out of Scale,Movie,"Jack Hannah, Jack Kinney","['Dessie Flynn', 'James MacDonald', 'Clarence Nash']",02 Nov 1951,"['Animation', 'Short', 'Comedy']",7,English,United States,,7.5,,,Disney
17236,Penguins: Life on the Edge,Movie,"Alastair Fothergill, Jeff Wilson","['Blair Underwood', 'Matthew Aeberhard', 'John Aitchison']",03 Apr 2020,"['Documentary', 'Family']",78,"['English', 'French']",United States,G,6.9,,,Disney
17237,Pluto's Party,Movie,Milt Schaffer,"['James MacDonald', 'Pinto Colvig']",19 Sep 1952,"['Animation', 'Short', 'Comedy']",7,English,United States,Approved,6.5,,,Disney
17238,Sea Scouts,Movie,Dick Lundy,Clarence Nash,30 Jun 1939,"['Animation', 'Family', 'Comedy']",8,English,United States,Approved,6.9,,,Disney
17239,Sonny with a Chance,TV Show,,"['Demi Lovato', 'Tiffany Thornton', 'Sterling Knight']",08 Feb 2009,"['Comedy', 'Family', 'Romance']",2,English,United States,TV-G,6.1,,,Disney
17240,The Boy Who Talked to Badgers,Movie,Gary Nelson,"['Christian Juttner', 'Carl Betz', 'Salome Jens']",14 Sep 1975,"['Adventure', 'Family']",89,English,United States,,5.5,,,Disney
17241,The New Neighbor,Movie,"Jack Hannah, David Hand","['Pinto Colvig', 'Billy Bletcher', 'Clarence Nash']",01 Aug 1953,"['Family', 'Comedy', 'Animation']",7,English,United States,,7.2,,,Disney
17242,The Small One,Movie,"Don Bluth, Jack Cutting, Wolfgang Reitherman","['Sean Marshall', 'William Woodson', 'Olan Soule']",16 Dec 1978,"['Animation', 'Short', 'Drama']",26,English,United States,G,7.7,,,Disney
17243,The Straight Story,Movie,David Lynch,"['Richard Farnsworth', 'Sissy Spacek', 'Jane Galloway Heitz']",03 Nov 1999,"['Biography', 'Drama']",112,English,"['France', 'United Kingdom', 'United States']",G,8.0,95.0,86.0,Disney
17244,Frankenweenie,Movie,Tim Burton,"['Winona Ryder', ""Catherine O'Hara"", 'Martin Short']",05 Oct 2012,"['Animation', 'Comedy', 'Drama']",87,English,United States,PG,6.9,87.0,74.0,Disney
17245,Mars Needs Moms,Movie,Simon Wells,"['Seth Green', 'Joan Cusack', 'Dan Fogler']",11 Mar 2011,"['Animation', 'Action', 'Adventure']",88,English,United States,PG,5.4,37.0,49.0,Disney
17246,Prom,Movie,Joe Nussbaum,"['Aimee Teegarden', 'Thomas McDonell', 'DeVaughn Nixon']",29 Apr 2011,"['Comedy', 'Drama', 'Family']",104,English,United States,PG,5.4,35.0,50.0,Disney
17247,The Last Song,Movie,Julie Anne Robinson,"['Miley Cyrus', 'Liam Hemsworth', 'Greg Kinnear']",31 Mar 2010,"['Drama', 'Music', 'Romance']",107,English,United States,PG,6.0,20.0,33.0,Disney
17248,The Odd Life of Timothy Green,Movie,Peter Hedges,"['Jennifer Garner', 'Joel Edgerton', 'CJ Adams']",15 Aug 2012,"['Comedy', 'Drama', 'Family']",105,English,United States,PG,6.6,36.0,47.0,Disney
17249,Be Our Chef,TV Show,,Angela Kinsey,27 Mar 2020,Game-Show,1,English,United States,TV-G,6.4,,,Disney
17250,A Wrinkle in Time,Movie,Ava DuVernay,"['Storm Reid', 'Oprah Winfrey', 'Reese Witherspoon']",09 Mar 2018,"['Adventure', 'Family', 'Fantasy']",109,English,United States,PG,4.2,43.0,53.0,Disney
17251,Disney I Didn't Do It,TV Show,,"['Olivia Holt', 'Austin North', 'Piper Curda', 'Peyton Clark', 'Sarah Gilman']",2013,"['Comedy', 'Family']",2,,United States,TV-G,,,,Disney
17252,Disney Insider,TV Show,,"['Gina Rodriguez', 'Katy Perry', 'Ryan Seacrest']",20 Mar 2020,Documentary,1,English,United States,TV-14,6.6,,,Disney
17253,G-Force,Movie,Hoyt Yeatman,"['Will Arnett', 'Penélope Cruz', 'Zach Galifianakis']",24 Jul 2009,"['Animation', 'Action', 'Adventure']",88,"['English', 'Spanish']",United States,PG,5.1,22.0,41.0,Disney
17254,Into the Unknown: Making Frozen 2,TV Show,,"['Jennifer Lee', 'Kristen Anderson-Lopez', 'Robert Lopez']",26 Jun 2020,"['Documentary', 'Family']",1,English,United States,TV-G,8.5,,,Disney
17255,Stargirl,TV Show,,"['Brec Bassinger', 'Anjelika Washington', 'Trae Romano']",18 May 2020,"['Action', 'Adventure', 'Crime']",2,English,United States,TV-PG,7.2,,,Disney
17256,The Finest Hours,Movie,Craig Gillespie,"['Chris Pine', 'Casey Affleck', 'Ben Foster']",29 Jan 2016,"['Action', 'Drama', 'History']",117,English,United States,PG-13,6.8,63.0,58.0,Disney
17257,The Sandlot: Heading Home,Movie,William Dear,"['Danny Nucci', 'Luke Perry', 'Keanu Pires', 'Sarah Deakins']",01 May 2007,"['Family', 'Sport']",96,English,"['USA', 'Canada']",PG,5.0,,,Disney
